Copyright (c) 2012 MaxMind LLC.  All Rights Reserved.
locId,country,region,city,postalCode,latitude,longitude,metroCode,areaCode
244,"ZA","11","Cape Town","",-33.9258,18.4232,,
245,"ZA","06","Pretoria","",-25.7069,28.2294,,
246,"ZA","02","Pietermaritzburg","",-29.6168,30.3928,,
247,"ZA","10","Potchefstroom","",-26.7167,27.1000,,
248,"ZA","03","Bloemfontein","",-29.1211,26.2140,,
249,"ZA","02","Durban","",-29.8579,31.0292,,
250,"ZA","05","Grahamstown","",-33.3042,26.5328,,
251,"ZA","11","Stellenbosch","",-33.9346,18.8668,,
252,"ZA","06","Sandton","",-26.0500,27.9667,,
253,"ZA","06","Johannesburg","",-26.2052,28.0498,,
254,"ZA","05","Uitenhage","",-33.7576,25.3971,,
255,"ZA","06","Parkview","",-26.1653,28.0244,,
256,"ZA","11","Wynberg","",-33.9833,18.4000,,
257,"ZA","06","Bedfordview","",-26.1767,28.1422,,
258,"ZA","11","Parow","",-33.8972,18.5999,,
259,"ZA","06","Vanderbijlpark","",-26.7117,27.8379,,
260,"ZA","07","Middelburg","",-25.7751,29.4648,,
261,"ZA","06","Marshalltown","",-26.2000,28.0833,,
262,"ZA","05","East London","",-33.0111,27.9100,,
263,"ZA","06","Olifantsfontein","",-25.9493,28.2295,,
264,"ZA","06","Lynnwood","",-25.7597,28.2651,,
265,"ZA","06","Rosslyn","",-25.6242,28.0942,,
266,"ZA","06","Houghton","",-26.1624,28.0513,,
267,"ZA","06","Silverton","",-25.7259,28.3137,,
268,"ZA","11","Roggebaai","",-33.9167,18.4333,,
269,"ZA","06","Midrand","",-25.9636,28.1378,,
270,"ZA","05","Braamfontein","",-31.4113,26.4870,,
271,"BW","09","Gaborone","",-24.6464,25.9119,,
272,"ZA","11","Waverley","",-33.4165,19.2251,,
273,"ZA","06","Parktown","",-26.1821,28.0267,,
274,"ZA","05","Hogsback","",-32.5953,26.9402,,
275,"ZA","08","Modderfontein","",-28.8167,17.1667,,
276,"ZA","02","Umhlanga Rocks","",-29.7167,31.0667,,
277,"NE","08","Niamey","",13.5167,2.1167,,
278,"GA","08","Port-gentil","",-0.7167,8.7833,,
279,"MZ","04","Maputo","",-25.9653,32.5892,,
280,"DZ","01","Alger","",36.7525,3.0420,,
281,"ZA","11","Faure","",-34.0278,18.7485,,
282,"ZA","05","Alice","",-32.7875,26.8344,,
283,"ZA","10","Medunsa","",-25.6189,28.0228,,
284,"ZA","05","Port Elizabeth","",-33.9180,25.5701,,
285,"ZA","11","Elsenburg","",-33.8457,18.8437,,
286,"ZA","06","Craighall","",-26.1167,28.0167,,
287,"ZA","06","Randburg","",-26.0991,27.9759,,
288,"ZA","06","Rivonia","",-26.0532,28.0596,,
289,"ZA","11","Claremont","",-33.9858,18.4575,,
290,"ZA","06","Honeydew","",-26.0799,27.9254,,
291,"ZA","06","Halfway House","",-25.9971,28.1299,,
292,"ZA","06","Centurion","",-25.8408,28.1761,,
293,"ZA","05","Umtata","",-31.5889,28.7844,,
294,"ZA","02","Westville","",-29.8255,30.9370,,
295,"ZA","06","Boksburg","",-26.2150,28.2547,,
296,"ZA","02","Pinetown","",-29.8207,30.8867,,
297,"ZA","05","Doornfontein","",-33.1000,24.2667,,
298,"ZA","06","Onderstepoort","",-25.6495,28.1854,,
299,"ZA","02","Greytown","",-29.0642,30.5928,,
300,"ZA","02","Overport","",-29.8348,31.0001,,
301,"ZA","06","Krugersdorp","",-26.0928,27.7907,,
302,"ZA","06","Menlo Park","",-25.7711,28.3078,,
303,"ZA","05","Korsten","",-33.9289,25.5694,,
304,"ZA","11","Sunnyside","",-33.9667,18.5167,,
305,"ZA","03","Roodepoort","",-27.1667,28.1667,,
306,"GH","08","Tema","",5.6167,-0.0167,,
307,"GH","02","Kumasi","",6.6833,-1.6167,,
308,"GH","09","Takoradi","",4.8833,-1.7500,,
309,"GH","01","Accra","",5.5500,-0.2167,,
310,"DZ","01","Algiers","",36.7631,3.0506,,
311,"DZ","25","Laghouat","",33.8000,2.8833,,
312,"DZ","14","Tizi Ouzou","",36.7169,4.0497,,
313,"DZ","41","Chlef","",36.1647,1.3347,,
